Date,Speaker,Theme
18/08/2025,Renato,Os Processos de Perdoar
25/08/2025,Emilly,A Importância do Trabalho
01/09/2025,Giuliano,The Law of Love
08/09/2025,Amanda,A Comunicação com os Espíritos
15/09/2025,Monique,A Imortalidade da Alma
22/09/2025,Cintia,O Papel do Espírito na Formação do Caráter
29/09/2025,Mari,O Papel da Intuição na Tomada de Decisões
13/10/2025,Rafael,Challenges of Youth in Today’s World
20/10/2025,Welbster,Os Espíritos Protetores
27/10/2025,Amanda,O Efeito da Prece
03/11/2025,Luciana,The Practice of Mediumship
10/11/2025,Wellington,O que é a Moral Espírita?
17/11/2025,Monique,Reforma Íntima e Autoconhecimento
24/11/2025,Giuliano,A Educação do Espírito
01/12/2025,Emilly,The Role of Spiritism in Society
08/12/2025,Euclides,A Construção do Futuro com Base na Moral Espírita
15/12/2025,,
